prefix,datadog_id,type,description
cockroachdb,abortspanbytes,gauge,"Number of bytes in the abort span
Shown as byte"
cockroachdb,addsstable.applications,count,"[OpenMetrics v1] Number of SSTable ingestions applied (i.e. applied by Replicas)
Shown as operation"
cockroachdb,addsstable.applications.count,count,"[OpenMetrics v2] Number of SSTable ingestions applied (i.e. applied by Replicas)
Shown as operation"
cockroachdb,addsstable.copies,count,"[OpenMetrics v1] number of SSTable ingestions that required copying files during application
Shown as operation"
cockroachdb,addsstable.copies.count,count,"[OpenMetrics v2] number of SSTable ingestions that required copying files during application
Shown as operation"
cockroachdb,addsstable.delay.count,count,"Amount by which evaluation of AddSSTable requests was delayed
Shown as nanosecond"
cockroachdb,addsstable.delay.enginebackpressure.count,count,"Amount by which evaluation of AddSSTable requests was delayed by storage-engine backpressure
Shown as nanosecond"
cockroachdb,addsstable.proposals,count,"[OpenMetrics v1] Number of SSTable ingestions proposed (i.e. sent to Raft by lease holders)
Shown as operation"
cockroachdb,addsstable.proposals.count,count,"[OpenMetrics v2] Number of SSTable ingestions proposed (i.e. sent to Raft by lease holders)
Shown as operation"
cockroachdb,admission.admitted.elastic_cpu.bulk_normal_pri.count,count,Number of requests admitted
cockroachdb,admission.admitted.elastic_cpu.count,count,Number of requests admitted
cockroachdb,admission.admitted.elastic_cpu.normal_pri.count,count,Number of requests admitted
cockroachdb,admission.admitted.kv,count,"[OpenMetrics v1] Number of KV requests admitted
Shown as request"
cockroachdb,admission.admitted.kv.bulk_normal_pri.count,count,Number of requests admitted
cockroachdb,admission.admitted.kv.count,count,"[OpenMetrics v2] Number of KV requests admitted
Shown as request"
cockroachdb,admission.admitted.kv.high_pri.count,count,Number of requests admitted
cockroachdb,admission.admitted.kv.locking_normal_pri.count,count,Number of requests admitted
cockroachdb,admission.admitted.kv.normal_pri.count,count,Number of requests admitted
cockroachdb,admission.admitted.kv_stores,count,"[OpenMetrics v1] Number of KV stores requests admitted
Shown as request"
